Champion title,Team A,Team B,Score,time
الدوري المصري,سيراميكا كليوباترا,الاتحاد السكندري, - - -,17:00
الدوري المصري,سموحة,فاركو, - - -,20:00
بطولة أفريقيا لكرة اليد,غينيا,كينيا, - - -,10:30
بطولة أفريقيا لكرة اليد,انجولا,أوغندا, - - -,11:00
بطولة أفريقيا لكرة اليد,مصر,الجابون, - - -,12:00
بطولة أفريقيا لكرة اليد,الجزائر,نيجيريا, - - -,12:30
بطولة أفريقيا لكرة اليد,تونس,الكاميرون, - - -,14:00
بطولة أفريقيا لكرة اليد,المغرب,بنين, - - -,14:30
بطولة أفريقيا لكرة اليد,كاب فيردي,الكونغو برازافيل, - - -,16:00
بطولة أفريقيا لكرة اليد,رواندا,زامبيا, - - -,20:00
كأس مصر,زد,المصري, - - -,14:30
دوري أبطال أوروبا,جالاتا سراي,اتلتيكو مدريد, - - -,19:45
دوري أبطال أوروبا,كاراباج اجدام,آ. فرانكفورت, - - -,19:45
دوري أبطال أوروبا,يوفنتوس,بنفيكا, - - -,22:00
دوري أبطال أوروبا,مارسيليا,ليفربول, - - -,22:00
دوري أبطال أوروبا,تشيلسي,نادي بافوس, - - -,22:00
دوري أبطال أوروبا,بايرن ميونيخ,سان جيلواز, - - -,22:00
دوري أبطال أوروبا,سلافيا براج,برشلونة, - - -,22:00
دوري أبطال أوروبا,أتالانتا,أتلتيك بلباو, - - -,22:00
دوري أبطال أوروبا,نيوكاسل,إيندهوفن, - - -,22:00
الدوري السعودي,الأخدود,الرياض, - - -,17:30
الدوري السعودي,الاتفـــــاق,نادي نيوم, - - -,19:30
الدوري السعودي,ضمك,النصر, - - -,19:30
الدوري التونسي,مستقبل قابس,الأولمبي الباجي, - - -,15:00
الدوري التونسي,شبيبة العمران,الترجي الجرجيسي, - - -,15:00
